Handle                     ,Title                      ,Body (HTML)                                                                                                                                                                                                                       ,Vendor       ,Product Category                                                                ,Type,Tags                       ,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src                                                                                                                    ,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Allergen information (product.metafields.shopify.allergen-information),Dietary preferences (product.metafields.shopify.dietary-preferences),Flavor (product.metafields.shopify.flavor) ,Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blueberry-almond-brownie   ,Blueberry Almond Brownie   ,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span data-sheets-root=""1"">Brownie base infused with almond extract, topped with blueberry butterceram and a blueberry on top.</span><br></p>"                              ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,limited                    ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/BlueberryAlmondBrownie2.png?v=1757456825                              ,1             ,              ,false    ,         ,               ,nuts; milk; eggs; wheat                                               ,                                                                    ,blueberry; almond; chocolate               ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
chocolate-banana-split     ,Chocolate Banana Split     ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Chocolate-banana cake with caramel drizzle, whipped topping, and a maraschino cherry for a sundae twist.</span></p>"                                                     ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,kid-favorite               ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/ChocolateBananaSplit.png?v=1757449828                                 ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,banana; vanilla; cherry; caramel; chocolate,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
cotton-candy-carnival      ,Cotton Candy Carnival      ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Whimsical pink-and-blue cake topped with cotton candy–infused frosting and a hint of shimmer.</span></p>"                                                                ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"kid-favorite, nut-free"   ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/CottonCandyCarnival.png?v=1757456748                                  ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,                                           ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
honey-lavender-dream       ,Honey Lavender Dream       ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Delicate vanilla-lavender cake with whipped honey frosting—a soft floral treat with calming notes.</span></p>"                                                           ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,limited                    ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/HoneyLavenderDream.png?v=1757449763                                   ,1             ,              ,false    ,         ,               ,milk; wheat; eggs                                                     ,                                                                    ,vanilla                                    ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
chocolate-dipped-strawberry,Chocolate Dipped Strawberry,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Chocolate cupcake with strawberry filling, strawberry frosting, and a chocolate-dipped berry on top.</span></p>"                                                         ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,gluten-free                ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/ChocolateDippedStrawberry.png?v=1757449728                            ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,chocolate; strawberry                      ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
orange-creamsicle-swirl    ,Orange Creamsicle Swirl    ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Zesty orange cake paired with vanilla cream frosting—bright, citrusy, and totally nostalgic.</span></p>"                                                                 ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"gluten-free, kid-favorite",true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/OrangeCreamsicleSwirl.png?v=1757449699                                ,1             ,              ,false    ,         ,               ,eggs; milk; wheat                                                     ,                                                                    ,vanilla; orange                            ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
black-forest-bite          ,Black Forest Bite          ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Dark chocolate and cherry cake with whipped cream frosting and a juicy cherry center.</span></p>"                                                                        ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"filled, nut-free"         ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/BlackForestBite_10456cc1-f14d-46c3-b198-b310c1d54bce.png?v=1757455617 ,1             ,              ,false    ,         ,               ,milk; eggs; wheat                                                     ,                                                                    ,chocolate; cherry                          ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
pineapple-paradise         ,Pineapple Paradise         ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Caramelized pineapple cake with a cherry on top, inspired by the retro classic and perfect for summer.</span></p>"                                                       ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,"gluten-free, limited"     ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/PineappleParadise.png?v=1757449621                                    ,1             ,              ,false    ,         ,               ,eggs; wheat; milk                                                     ,                                                                    ,                                           ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
blueberry-pancake-stack    ,Blueberry Pancake Stack    ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Buttermilk cupcake filled with blueberry compote and topped with maple buttercream and a mini pancake garnish.</span></p>"                                               ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,filled                     ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/BlueberryPancakeStack2.png?v=1757456837                               ,1             ,              ,false    ,         ,               ,milk; eggs; wheat                                                     ,                                                                    ,blueberry                                  ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
carrot-cake-cozy           ,Carrot Cake Cozy           ,"<p><meta charset=""utf-8""><span data-sheets-root=""1"">Classic spiced carrot cake with chopped walnuts, topped with smooth cream cheese frosting and a hint of nutmeg.</span></p>"                                              ,cupcakeboxapp,"Food, Beverages & Tobacco > Food Items > Bakery > Cupcakes"                    ,    ,gluten-free                ,true     ,Title       ,Default Title,                 ,            ,             ,                 ,            ,             ,                 ,           ,0.0          ,                         ,0                    ,deny                    ,manual                     ,4.00         ,                        ,false                    ,false          ,               ,https://cdn.shopify.com/s/files/1/0752/6763/7481/files/CarrotCakeCozy.png?v=1757449541                                       ,1             ,              ,false    ,         ,               ,eggs; nuts; milk; wheat                                               ,                                                                    ,cinnamon                                   ,wheat                                                         ,                                                                ,             ,lb                 ,                ,             ,active
